Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,6826.950195,6854.600098,6809.839844,6825.069824,6825.069824,59561000
2023-10-31,6840.729980,6903.200195,6831.669922,6885.649902,6885.649902,66344100
2023-11-01,6914.319824,6954.839844,6873.549805,6932.629883,6932.629883,50434500
2023-11-02,6991.450195,7097.390137,6982.040039,7060.689941,7060.689941,67508200
2023-11-03,7084.509766,7086.709961,7046.859863,7047.500000,7047.500000,67586800
2023-11-06,7066.180176,7069.660156,7006.529785,7013.729980,7013.729980,49088200
2023-11-07,6970.660156,7011.790039,6963.879883,6986.229980,6986.229980,55272500
2023-11-08,6951.479980,7068.040039,6950.950195,7034.160156,7034.160156,52404100
2023-11-09,7043.879883,7122.509766,7025.609863,7113.660156,7113.660156,54999000
2023-11-10,7079.399902,7083.120117,7006.089844,7045.040039,7045.040039,0
2023-11-13,7069.879883,7103.669922,7056.089844,7087.060059,7087.060059,48080100
2023-11-14,7098.720215,7207.770020,7083.229980,7185.680176,7185.680176,65725700
2023-11-15,7214.689941,7245.370117,7198.910156,7209.609863,7209.609863,73269900
2023-11-16,7203.959961,7210.009766,7168.399902,7168.399902,7168.399902,53810200
2023-11-17,7196.689941,7246.720215,7196.689941,7233.910156,7233.910156,63665900
2023-11-20,7242.399902,7267.040039,7236.020020,7246.930176,7246.930176,41813900
2023-11-21,7231.040039,7248.060059,7214.390137,7229.450195,7229.450195,39932500
2023-11-22,7252.009766,7274.770020,7243.830078,7260.729980,7260.729980,40263400
2023-11-23,7274.250000,7285.290039,7263.669922,7277.930176,7277.930176,31465600
2023-11-24,7275.000000,7298.910156,7268.580078,7292.799805,7292.799805,37987800
